,comments,created_time,from,id,likes,content,shares,type,,,,
13,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-02-04 01:49:30,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_967535043329857,"{u'paging': {u'cursors': {u'after': u'NDA0NTcxNTEyOTU5NTQ5', u'before': u'MTAyMDM3NzA2MTcwOTk1MDI='}}, u'data': [{u'id': u'10203770617099502', u'name': u'Teresa Astudillo Cáceres'}, {u'id': u'404571512959549', u'name': u'Chilenos con Decisión'}], u'summary': {u'total_count': 2}}","Hola Ayúdennos  con esta nueva campaña con la ONG Chilenos Con Decisión Atacama. Si van a comprar la lista de materiales de sus hijos, acuérdense de los que más necesitan y compren unas cositas de más para donarnos. Por fa, muchos niños se lo agradecerán. Cualquier cosa comunicarse conmigo. Todo sirve!!
Coordinar  por mensaje o al whatsapp 61696844",{u'count': 2},photo,,,,
14,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-02-04 00:33:37,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_967489353334426,"{u'paging': {u'cursors': {u'after': u'NDA0NTcxNTEyOTU5NTQ5', u'before': u'MTAyMDM3NzA2MTcwOTk1MDI='}}, u'data': [{u'id': u'10203770617099502', u'name': u'Teresa Astudillo Cáceres'}, {u'id': u'1669555263312563', u'name': u'Isabel Ortega'}, {u'id': u'962951857125350', u'name': u'Nadia Nataly Salas Donoso'}, {u'id': u'10207840532719602', u'name': u'Denisse Cartes'}, {u'id': u'404571512959549', u'name': u'Chilenos con Decisión'}], u'summary': {u'total_count': 5}}",nuestro Coordinador de la región metropolitana Claudio Cava junto a nuestro presidente  Christopher Bravo Ramirez en reunión de trabajo de proyectos para la zona. #ChilenosconDecisión #Metropolitana #ONGSOCIAL #EnTerrenoJuntoATi,{u'count': 1},photo,,,,
15,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-02-03 20:07:22,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_967373063346055,"{u'paging': {u'cursors': {u'after': u'MTAyMDU5NzAyNDMxMjE0Njk=', u'before': u'NDA0NTcxNTEyOTU5NTQ5'}}, u'data': [{u'id': u'404571512959549', u'name': u'Chilenos con Decisión'}, {u'id': u'10205970243121469', u'name': u'Evelyn Velásquez Vargas'}], u'summary': {u'total_count': 2}}",#ChilenosConDecisión #Araucania #ONGsocial #EnTerrenoJuntoaTi,{u'count': 1},photo,,,,
16,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPVFkzTkRjNU5UVTJOalk0TnpNNU9qRTBOVFExTkRNMU9UTT0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPVFkzTkRjNU5UVTJOalk0TnpNNU9qRTBOVFExTkRNMU9UTT0='}}, u'data': [{u'message': u'yo puedo ayudar', u'from': {u'name': u'Paola Yamilet Gonzalez Carvajall', u'id': u'1030370983667726'}, u'id': u'967300890019939_967479556668739'}], u'summary': {u'total_count': 1, u'order': u'ranked'}}",2016-02-03 16:37:15,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_967300890019939,"{u'paging': {u'cursors': {u'after': u'NDA0NTcxNTEyOTU5NTQ5', u'before': u'MTA5MTI4MDkzNzU4OTQ4Mw=='}}, u'data': [{u'id': u'1091280937589483', u'name': u'Juan Alexis Montiel Mauna'}, {u'id': u'886737061419068', u'name': u'Alda Jeldes'}, {u'id': u'10205950539945329', u'name': u'Francisca Belén Zúñiga Alarcón'}, {u'id': u'845371365584045', u'name': u'Elizabeth Contreras Araya'}, {u'id': u'1073041956052798', u'name': u'Barbara Rojas Carrasco'}, {u'id': u'404571512959549', u'name': u'Chilenos con Decisión'}], u'summary': {u'total_count': 6}}",#chilenoscondecision#CHAÑARAL#ENTERRENOJUNTOATI# ESTARÁ ESTE SÁBADO CON UNA TARDE DE PISCINAS Y UNA COMPLETADA PARA LOS NIÑOS DEL SALADO UNA COMUNA RURAL DE CHAÑARAL ESTAREMOS EN EL CAMPAMENTO DE EMERGENCIA Y NECESITAMOS PARA ELLO GOLOCINAS .GLOBOS .BEBIDAS cualquier cooperación se agradese para los niños ,),{u'count': 10},photo,,,
17,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPVFkzTXpjeE1UWTJOamM1TlRjNE9qRTBOVFExTWprMk1UQT0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPVFkzTXpjeE1UWTJOamM1TlRjNE9qRTBOVFExTWprMk1UQT0='}}, u'data': [{u'message': u'Una. Konsulta. Es. Para todos. Los. Niños. K lo nesecitan o solo los de las kasas de.emergencia ?? Porke yo kreo k en todos. Lados. Aii personas. K nesecitan una ayudadita. Kn utiles .... ya. K ay a barias. Personas. K no le.alkansa. para. Todos. Sus hijos. A. Los. K tienen mas de 2 ... o a. Kualkiera. K de verdad no le alkansa. ..', u'from': {u'name': u'Nicole Andrea Arcos Montoya', u'id': u'1502021803421518'}, u'id': u'966959090054119_967371166679578'}], u'summary': {u'total_count': 1, u'order': u'ranked'}}",2016-02-02 23:56:23,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_966959090054119,"{u'paging': {u'cursors': {u'after': u'MTAyMDU5NzAyNDMxMjE0Njk=', u'before': u'MTAyMDU5NzAyNDMxMjE0Njk='}}, u'data': [{u'id': u'10205970243121469', u'name': u'Evelyn Velásquez Vargas'}], u'summary': {u'total_count': 1}}","Hola comenzamos nuestra nueva campaña con la Ong Chilenos Con Decisión Atacama.  Si van a comprar la lista de materiales de sus hijos, acuérdense de los que más necesitan y compren unas cositas de más para donarnos. Por fa, muchos niños se lo agradecerán. Cualquier cosa comunicarse conmigo. Todo sirve!!
Comunicarse con Solange Solar  por mensaje o whatsapp 61696844
Visita nuestra pagina Chilenos Con Decisión Atacama",{u'count': 2},photo,,,,
18,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-02-01 17:48:00,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_966269590123069,"{u'paging': {u'cursors': {u'after': u'MTAyMDU5NzAyNDMxMjE0Njk=', u'before': u'MTAyMDU5NTA1Mzk5NDUzMjk='}}, u'data': [{u'id': u'10205950539945329', u'name': u'Francisca Belén Zúñiga Alarcón'}, {u'id': u'404571512959549', u'name': u'Chilenos con Decisión'}, {u'id': u'10205970243121469', u'name': u'Evelyn Velásquez Vargas'}], u'summary': {u'total_count': 3}}",Con unos amigos desde Bolivia acompañando en la entrega de cartas a las librerías gracias Chiquinquirá y Marcos por su compañía #ChilenosConDecision #tarapacá #ONGSOCIAL #ENTERRENOJUNTOATI,,photo,,,,
19,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-01-31 14:05:19,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_965627993520562,"{u'paging': {u'cursors': {u'after': u'NDA0NTcxNTEyOTU5NTQ5', u'before': u'MTAyMDc4MjA4OTg3NDE0Njc='}}, u'data': [{u'id': u'10207820898741467', u'name': u'Luciano Alberto'}, {u'id': u'10203770617099502', u'name': u'Teresa Astudillo Cáceres'}, {u'id': u'10205970243121469', u'name': u'Evelyn Velásquez Vargas'}, {u'id': u'10203252870020063', u'name': u'Cesar Salas Gonzalez'}, {u'id': u'10201032824461115', u'name': u'Camilo Enrique Cayuqueo'}, {u'id': u'404571512959549', u'name': u'Chilenos con Decisión'}], u'summary': {u'total_count': 6}}","Junto a la Presidenta de la Unión Comunal de Temuco, luego de nuestra reunión  e inicio  de alianza de trabajo en equipo en beneficio de las más de 120 organizaciones sociales de Temuco #ChilenosconDecisión #Araucania  #ONGSOCIAL #EnTerrenoJuntoATi",{u'count': 1},photo,,,,
20,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-01-30 19:35:00,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_965245486892146,"{u'paging': {u'cursors': {u'after': u'MTAyMDU5NzAyNDMxMjE0Njk=', u'before': u'MTAyMDU5NzAyNDMxMjE0Njk='}}, u'data': [{u'id': u'10205970243121469', u'name': u'Evelyn Velásquez Vargas'}], u'summary': {u'total_count': 1}}","Hola!!! seguimos apoyando a esta pequeña luchadora. @todos apadrinemos a Emily Vergara. Necesitamos que suban fotos con una cartelito con el hastag #FarkasAyudaEmily. 
También aun necesitamos muchos padrinos que puedan donar $1.000 mensuales, SIEMPRE TODOS LOS MESES. para los medicamentos de la princesa.
Difundir Zumbaton a beneficio de la pequeña. Difunda o compre su entrada.
Todo Copiapó unidos por esta pequeñita.

Solange Solar Arriagada
Coordinadora Chilenos con decisión Atacama-Copiapó",,photo,,,,
21,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-01-30 17:48:16,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_965201316896563,"{u'paging': {u'cursors': {u'after': u'NDA0NTcxNTEyOTU5NTQ5', u'before': u'MTAyMDI1MDE5NDQ2MTMyOTc='}}, u'data': [{u'id': u'10202501944613297', u'name': u'Eduardo Flores'}, {u'id': u'947611455262829', u'name': u'Veronica Gonzalez Jara'}, {u'id': u'10152668540458604', u'name': u'Pablo Alexander Imaña Herrera'}, {u'id': u'10208598475061842', u'name': u'Polyta LC'}, {u'id': u'10205970243121469', u'name': u'Evelyn Velásquez Vargas'}, {u'id': u'10205754258875211', u'name': u'Katie Escobar'}, {u'id': u'1590650007891089', u'name': u'Angie Del Pilar Galvez'}, {u'id': u'404571512959549', u'name': u'Chilenos con Decisión'}], u'summary': {u'total_count': 8}}",Ahora nuestro equipo de #ChilenosconDecisión  #Araucania en la plaza de Temuco  entregando perritos en adopción   #ONGSOCIAL #EnTerrenoJuntoATi,{u'count': 1},photo,,,,
22,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-01-30 01:59:46,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_964866956929999,"{u'paging': {u'cursors': {u'after': u'MTAyMDU5NzAyNDMxMjE0Njk=', u'before': u'MTAyMDczNTU1NDAyNjg4NDE='}}, u'data': [{u'id': u'10207355540268841', u'name': u'Roama Espinoza Amigo'}, {u'id': u'404571512959549', u'name': u'Chilenos con Decisión'}, {u'id': u'962951857125350', u'name': u'Nadia Nataly Salas Donoso'}, {u'id': u'10205970243121469', u'name': u'Evelyn Velásquez Vargas'}], u'summary': {u'total_count': 4}}",nuestro presidente Christopher Roberto Bravo Ramirez inicia viaje #EnTerrenoJuntoATi  junto al equipo de #ChilenosconDecisión #Araucania para potenciar el trabajo  social que realiza nuestro equipo en la zona. #ONGSOCIAL,{u'count': 1},photo,,,,
23,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-01-29 13:04:02,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_964544010295627,"{u'paging': {u'cursors': {u'after': u'MTAyMDU5NzAyNDMxMjE0Njk=', u'before': u'MTAyMDU5Mjk3NzQyNTg5NDg='}}, u'data': [{u'id': u'10205929774258948', u'name': u'Vivian Ramos Soto'}, {u'id': u'10205754258875211', u'name': u'Katie Escobar'}, {u'id': u'10205049685712620', u'name': u'Sandra Laura Tapia Bouniot'}, {u'id': u'404571512959549', u'name': u'Chilenos con Decisión'}, {u'id': u'10205970243121469', u'name': u'Evelyn Velásquez Vargas'}], u'summary': {u'total_count': 5}}","El día sábado 30 de enero nuestro equipo de #ChilenosConDecision #Araucania estará regalando perritos en la plaza Dagoberto Godoy ubicada a un costado del hospital regional de Temuco, la actividad iniciará a las 12 del día hasta las 17:00 de la tarde. Esperamos adoptes y entregues el cariño que tanto necesitan nuestros perritos del canil. #EnTerrenoJuntoATi  #ONGsocial",{u'count': 8},photo,,,,
24,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-01-27 18:29:24,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_963628713720490,"{u'paging': {u'cursors': {u'after': u'MTAyMDU5NzAyNDMxMjE0Njk=', u'before': u'MTAyMDM3NzA2MTcwOTk1MDI='}}, u'data': [{u'id': u'10203770617099502', u'name': u'Teresa Astudillo Cáceres'}, {u'id': u'949246131790972', u'name': u'Nelly Ardiles'}, {u'id': u'10206200667914329', u'name': u'Cristopher Lee'}, {u'id': u'10204561999187263', u'name': u'Isis Neder'}, {u'id': u'404571512959549', u'name': u'Chilenos con Decisión'}, {u'id': u'10204852357204099', u'name': u'Damian Sanchez Sepulveda'}, {u'id': u'10205970243121469', u'name': u'Evelyn Velásquez Vargas'}], u'summary': {u'total_count': 7}}","Hola!!!! Si eres solidario, actuas por tratar de mejorar un poquito más este mundo, eres de las personas que de derrite por la sonrisa de un niño o un calido apreton de manos de un abuelito. Que esperas!!!! te invitamos a ser parte de este lindo equipo y unirte como voluntario. Visita nuestra pagina de facebook Chilenos Con Decisión Atacama
#chilenoscondecisión #Atacama, #ONGSOCIAL, #EnTerrenoJuntoATI",{u'count': 7},photo,,,,
25,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'ranked'}}",2016-01-25 13:11:41,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'Chilenos con Decisión', u'category_list': [{u'id': u'2235', u'name': u'Non-Governmental Organization (NGO)'}], u'id': u'404571512959549'}",404571512959549_962432650506763,"{u'paging': {u'cursors': {u'after': u'NDA0NTcxNTEyOTU5NTQ5', u'before': u'NzQxNDcwNDI1OTgzNTQ2'}}, u'data': [{u'id': u'741470425983546', u'name': u'Maly Theodore Peter James'}, {u'id': u'404571512959549', u'name': u'Chilenos con Decisión'}], u'summary': {u'total_count': 2}}","Todos invitados  a ver el Capítulo  3 de nuestro programa Social #EnTerrenoJuntoATi de #ONGSOCIAL #ChilenosconDecisión 

https://youtu.be/pM_BfdJ8tvU",{u'count': 4},video,,,,
