Content,Likes,ONG,Alcance,,,
IRVALPO desarrolla permanentemente operativo para detección de la hipoacusia en adultos mayores. Inscripciones para preventivo auditivo en centro médico la Araucana Valparaíso jueves 09:00 a 13:00 hrs. Más de 700 pacientes atendidos.,5,Instituto de Rehabilitación de Valparaso,Local,,,
"Mañana jueves a las 11 am en el atrio La Matriz lanzamos ""LA MATRIZ DEL EMPRENDIMIENTO""!!!",5,Corporación La Matriz,Local,,,
Amigos se viene CEVAS DE INVIERNO!!!!Los invitamos a inscribirse en secretaria de la Parroquia La Matriz Valparaíso... se realizarán durante el 20 a 24 de julio.Niños y monitores digan yo!!!!!,5,Corporación La Matriz,Local,,,
QUERIDOS AMIGOS Y VOLUNTARIOS DE LA CORPORACIÓN A PARTIR DEL 1 DE MARZO NUESTRA NUEVA DIRECCIÓN ES OBISPO SALAS 0381 PROVIDENCIA. LAS PUERTAS ESTARÁN ABIERTAS PARA RECIBIRLOS COMO SIEMPRE CON MUCHO CARIÑO.,5,Corporación para Ciegos,Local,,,
El martes 26 de agosto se realizará en distintas comunas de Santiago nuestra Colecta anual.  Esta es una instancia fundamental para recaudar fondos y así poder continuar realizando los cursos y talleres a personas ciegas y disminuidas visuales de escasos recursos así como también continuar desarrollando nuestra Biblioteca digital de audio libros orgullo para nuestra Corporación.,5,Corporación para Ciegos,Local,,,
Hoy desde las 16 horas el Presidente Fernando Fuenzaliza y la Directora Ejecutiva Javiera Acuña estarán junto a Eli de Caso en el programa Al Agricultura hablando sobre la Corporación para Ciegos y el evento del 4 de noviembre. Recuerda en la 92.1 en Santiago.,5,Corporación para Ciegos,Local,,,
Los esperamos hoy a las 19:30 horas en el Aula Magna de la Escuela Militar para nuestro evento benéfico. Tendremos un cóctel luego una adaptación teatral de El Principito y terminamos con un remate de pinturas realizadas por personas ciegas. No te lo pierdas !,5,Corporación para Ciegos,Local,,,
Una frase extraída de una charla de la psicóloga Pilar Sordo: En una de sus charlas contó que tenía un paciente que fue a verla por depresión se llamaba Jaime era ciego y para darle una tarea ella le dijo que le trajera escrito qué cosas le agradecía a la vida a la sesión siguiente para su sorpresa le llevó cuatro cuadernillos escritos en tinta por un amigo y ella se puso a leer todas las cosas buenas que le pasaban en un día por ejemplo: la temperatura del agua en la ducha el poder secarse con una toalla seca el olor del pijama recién lavado el olor a pan tostado a la mañana el sol quemándole en la cara la carcajada de un niño en una plaza ésas eran las pequeñas cosas que Jaime veía pero que Pilar no aunque tuviera vista y ella concluía que muchas veces estamos más ciegos que Jaime y eso es lo que uno aprende a valorar.,5,Corporación para Ciegos,Local,,,
Estimada Comunidad de la Corporación para Ciegos:Les informamos lo siguiente respecto del funcionamiento de nuestras actividades de mañana lunes 17 de abril:ATENCIÓN A PÚBLICO Y CLASES NORMALES Nuestra casa ubicada en calle Obispo Salas se encuentra en perfectas condiciones sin anegamientos ni cortes de agua. Por lo tanto mañana estaremos recibiendo a público y atendiendo de manera normal. SUSPENSIÓN REUNIÓN DE VOLUNTARIADO.Por motivos de convocatoria se suspender la reunión de voluntariado. Se informará oportunamente la nueva fecha del encuentro.Ante cualquier eventualidad los mantendremos informados.CordialmenteEquipo CPC,5,Corporación para Ciegos,Local,,,
Hoy nuevamente nos juntaremos a las 19.30 hrs. en la Parroquia de Viña del Mar (frente a la plaza de via) para salir a compartir un plato de comida caliente con personas en situación de calle de nuestra ciudad. No necesitas nada más que ganas para participar Te esperamos!Para más información mándanos un inbox o comunícate al +56 9 9785 4436,5,Desafío Levantemos Chile V Región,Local,,,
SI QUIERES AYUDAR A LOS NIÑOS DAMNIFICADOS DE VALPARAÍSO Y VIVES EN QUILPUÉ ES TU OPORTUNIDAD!!!!!!Mañana martes 6 de mayo se necesitan voluntari@s que puedan armar kits con útiles escolares para entregar a los niños damnificados por el incendio la idea es juntarse a las 10:00 (horas) en la bodega de Head (mochilas). El trabajo no es complicado solo hay que tener ganas de ayudar!!!! La Dirección: Calle el Esfuerzo 886 Barrio Industrial Belloto Norte  Quilpué.Si leste esto y quieres ser parte de este pequeño granito de Arena. Confirma tu asistencia enviando un mail a: xixo.veron@gmail.comSi leíste esto y no puedes asistir compártelo!!!!,5,Desafío Levantemos Chile V Región,Local,,,
Mañana como cada lunes nos juntaremos a las 19.30 en la parroquia de Via para NOCHE DIGNA! Todo el que se quiera sumar es bienvenido! Los esperamos!,5,Desafío Levantemos Chile V Región,Local,,,
Hola a todos!! Mañana a las 19:30 nos juntaremos en la parroquia de via para prepararnos y salir a compartir con las personas en situación de calle! Los espero a todos quienes quieran participar de una nueva NOCHE DIGNA. Un abrazo :),5,Desafío Levantemos Chile V Región,Local,,,
Amigos y Voluntarios de #desafiolevantemoschilevregion y del #amisimeimporta estamos necesitando una estufa a gas para un amigo que conocimos ayer que apesar de su corta edad ( 13 añitos) padece de Leucemia Linfática crónica si requieres de mas información y/o estas interesado en ayudarnos mándanos un msj interno  saludos y que tengan un maravilloso día,5,Desafío Levantemos Chile V Región,Local,,,
Finalizamos con éxito una primera etapa con VSP  gracias a todos y un saludo especial a nuestros amigos de Pichilemu quienes vinieron a compartir sus experiencias como surfistas con los niños y la comunidad.  pronto vienen las fotos de la actividad !!,10,Valpo Surf Project,Local,,,
Feliz Da!!! para todas las mujeres: madres hijas hermanas amigas nietas abuelas y todos aquellos roles que día a día ejercemos en la sociedad. Continuemos exigiendo respeto igualdad de género y dignidad porque poco a poco hemos comenzado a ganar el lugar que merecemos.,10,Fundación Ascensus Mujer,Local,,,
Contamos con atención de Fonoaudiologa y Kinesiologa para  Personas en situación de Discapacidad de forma GRATUITA en nuestro centro comunitario. Para poder atenderse es necesario contar con Registro Nacional de Discapacidad. Aquellas personas que no cuenten con este registro deberán pertenecer a algunos de los pilares solidarios como Chile Crece Contigo o Ingreso tico Familiar (IEF) o tener un puntaje de ficha de protección social inferior a 13.484.Nuestro Centro se ubica en Valparaíso en la Calle Almirante Seoret N 70 (Edificio Capitana) Oficina 42.Teléfono para agendar hora: +56(32)2599775.Horario de atención Kinesiologa: Lunes a Viernes desde las 9:30 hasta las 14:00 hrs.Horario de atención Fonoaudiologa: Lunes a Viernes desde las 9:30 hasta las 14:00 hrs.Correo de contacto del Kinesilogo: farancibia@irvalpo.clCorreo de contacto de la Fonoaudiloga: azuzunaga@irvalpo.clLlamen escriban y agenden!Para conocernos visita nuestra página.,10,Instituto de Rehabilitación de Valparaso,Local,,,
hola hoolaaaa!! como todos los lunes los esperamos a las 19:30hrs. en la parroquia de Via del Mar para cocinar y comenzar una nueva NOCHE DIGNA! Espero mañana vayan hartos voluntarios a sacar sonrisas y compartir con las personas!!! abrazooos!!!,10,Desafío Levantemos Chile V Región,Local,,,
Esperamos de todo corazón que tengan una linda celebración de navidad ! Sin  olvidar el verdadero sentido de Noche buena !!! Gracias a todos quienes ayudaron y nos permitieron entregar una linda celebración a tantos niños de nuestra región sin ustedes que son pilar fundamental nada hubiese sido posible ! Feliz Navidad !!! ,11,Desafío Levantemos Chile V Región,Local,,,
Buen día! Este martes 12 de enero se dio inicio a la Expo-Arte Barrio Italia en la que la Corporación para Ciegos está exponiendo una serie de pinturas realizadas por nuestros usuarios. Estamos todo el día en la galería Patio Italia ubicada en Av. Italia 1308. Los esperamos con las puertas abiertas para que vengan a disfrutar de este bello panorama de vacaciones.,12,Corporación para Ciegos,Local,,,
El martes 24 de septiembre se realizar en distintas comunas de Santiago nuestra Colecta anual. Esta es una instancia fundamental para recaudar fondos y así poder continuar realizando los cursos y talleres a personas ciegas y disminuidas visuales de escasos recursos as como también  continuar  desarrollando nuestra Biblioteca digital de audio libros orgullo para nuestra Corporacion.La Corporación para Ciegos invita a toda persona y a su red de contactos que quiera ayudar en esta importante y necesaria actividad!!Inscríbase con hcavieres@ciegos.cl  o al 22090251,12,Corporación para Ciegos,Local,,,
Una tremenda jornada haciendo nexo y formando redes en la V región nos vamos felices y con el corazón llenito de amor gracias  #openhotelquillota #gcmedios #banamor #ponteenmilugar #damasdecafehospitalsanmartinquillota #fundacionlasemilla #cruzrojachilenafilialquillota,13,Desafío Levantemos Chile V Región,Local,,,
Lucía Retamal Asesora de la Unidad de Infancia y Derechos de Serpaj conversa con Radio Nuevo Mundo sobre los juguetes bélicos y sexistas en el marco de la campaña: Por un Mundo en Paz y sin Juguetes Bélicos. Escúchala en vivo en el siguiente link:http://www.radionuevomundo.cl/prueba-streaming/,14,SerpajChile,Local,,,
Un gran saludo para todos nuestros seguidores de Facebook!Esperamos que hayan tenido un gran martes y que el resto de la semana sea aun mejor!,14,Corporación para Ciegos,Local,Local,,
Sabias que Desafío Levantemos Chile lleva mas de un año y medio en la Quinta región...???? y que trabajamos desde el corazón por aquellos que mas lo necesitan <3<3<3Si te interesa el voluntariado si te mueve ayudar y tienes fuerte compromiso con lo social te invito a que seas parte de este gran equipo  solo déjanos un mensajito y nos comunicaremos contigo. ANIMATEEEEEE :)<3HAY MUCHO POR HACER<3BESOS Y QUE TENGAS UNA BUENA TARDE ,),17,Desafío Levantemos Chile V Región,,,
Saludos Todos!Si alguien le interesa quiero avisarles que mañana estamos juntando voluntarios a la Casa VSP a las 9:30am para ir a ayudar a una familia que conocemos. Si les gustara venir por favor traigan con Uds: agua y comida para sus mismos para almorzar bloqueador zapatos firmes/duros mascarillas algo para proteger a los ojos y guantes. Si pueden también traigan palas rastrillos y bolsas de basura/cajas de cartón. NO TRAIGAN objetos personales de valor (cámaras dinero iphones etc) porque Desafíortunadamente todavía hay algunas personas aprovechando.También pueden compartir esta información si tienen amigos interesados. Muchísimas gracias y un abrazo enorme a todos. Cualquier consulta o duda nos avisen por Face o el celular del equipo: 56515052. Fuerza Valpo!,18,Valpo Surf Project,Local,,,
Amigosssss !!! Estamos felicesss y queremos compartir nuestra alegra con ustedes !!! Ya tenemos la estufa para Reinaldo  creemos en la magia en la red de amigos en la gente de buen corazón  !!! sabemos que todos sus aportes serán recompensados con creces !!!  gracias gracias gracias,20,Desafío Levantemos Chile V Región,Local,Local,,
Hola a todos y todas esperamos que estén a salvo. Estamos acá en la Casa VSP listos a aceptar donaciones de cualquier cosa para ayudar las víctimas del incendio de anoche. Por favor traigan comida agua ropa pañales guantes para sacar escombros etc.La Casa VSP ubica en Garibaldi 105 Cerro La Cruz. De la intersección Colon con Francia sigue arriba por Francia y gira a la izquierda en Vallejos. La primera calle que se encuentra ser Garibaldi gira a la izquierda y estamos en la casa 105. Quédense atentos hoy y en los próximos das. Estamos averiguando como podemos ayudar en la mejor manera posible, pronto vamos a organizar un grupo de voluntarios.,24,Valpo Surf Project,,,
Hola a todos y todas. Por favor NO traigan ni ropa ni comida. Lo que mas necesitamos es lo siguiente:-materiales de construcción (palas carretillas claves guantes etc.)-artículos de aseo-agua-tiles escolaresGracias a tod@s. Pronto vamos a organizar un plan para movilizar e ayudar a reconstruir lo que ha sido quemado. Les esperamos acá en Garibaldi 105 en Cerro La Cruz. Fuerza Valpo!,36,Valpo Surf Project,Local,39,Desafío Levantemos Chile V Región,Local
Amigos viamarinossss y de los alrededores también si estas de paso ,) estamos en sporting club esperándote con actividades para ti ,) !!! Futbolito zumbaton  y un showroom con las mejores tiendas esperandoteeeee !!!! Entrada liberada por AV SPORTING!!!!! Y mañana desde las 11:00 am estaremos acá ven a celebrar a Papa ,) !!!!!,,,
Gracias a todos por su preocupación por el terremoto de anoche. Estamos felices de reportar que nuestro equipo y estudiantes se encuentran todo bien!,45,Valpo Surf Project,Local,,,
FAVOR SU AYUDA! NECESITAMOS UNA CAMA EN EL HOSPITAL SAN BORJA ARRIARAN EN SANTIAGO  PARA PACIENTE  CON CÁNCER.  TRASLADO DESDE COPIAPO! GRACIAS :),0,Chilenos con Decisin,Nacional,,,
Siempre es bueno compartir con los compañeros del alma Reunión planificando 2016 #ChilenosConDecision #Tarapaca #EnTerrenoJuntoAti #ONGSOCIAL,0,Chilenos con Decisin,Nacional,,,
Te gustan los videojuegos? Quieres saber más sobre las energías renovables? Si es as te invitamos a participar de los Tecnotalleres 2013 con los cursos de videojuegos y energías renovables y mucho ms. Inscripciones hasta el 29 de julio Los esperamos!www.tecnotalleres.cl,0,Fundación Mustakis,Nacional,,,
Comenzamos la segunda ronda y está compitiendo los primeros grupos! Ahora compiten ratas de acero C&P los Fachos New17!xito a todos!,0,Fundación Mustakis,Nacional,,,
Hoy atendemos a más de 8.500 niños en 57 programas distintos desde colegios hasta centros de reparación de maltrato! Te necesitamos!,0,Protectora de la Infancia,Nacional,,,
Necesitan 2 voluntarios para diseñar/ejecutar taller para los voluntarios de un #TechoparaChile  sobre #abusosexualinfantil,0,Psicólogos Voluntarios de Chile,Nacional,,,
Se requiere  profesionales psicólogos para el PRE programa para  la intervención en todas las aldeas de emergencia post #terremoto2010.,0,Psicólogos Voluntarios de Chile,Nacional,,,
Nos cambiamos de perfil a página! les contamos que vamos a cerrar nuestro perfil as que si quieren seguir siguiéndonos les recomendamos unirse a esta página. Saludos a todos! iremos actualizando nuestras fotos y vídeos históricos.,0,Fundación Superación Pobreza,Nacional,,,
URGENTE/Región Metropolitana: Necesitamos un PERIODISTA capo en gestión de medios desde el 11 de octubre hasta fines de noviembre. Interesados escribir a info@superacionpobreza.cl,0,Fundación Superación Pobreza,Nacional,,,
Que opinas de que en Chile un 87% de las familias de campamento no tienen acceso regular al agua potable. Un 86% mantiene una situación irregular de alcantarillado y un 67% de estas familias accede irregularmente a electricidad?,0,Techo - Chile,Nacional,,,
Más de 30 mil familias en Chile aún viven en campamentos. Familias que llevan más de 20 años buscando una solución. Juntos podemos cambiar esta injusta realidad?,0,Techo - Chile,Nacional,,,
"Estimados fans: Comenten cualquiera de estas citas del afamado pintor chileno Roberto Matta que se encuentran en el album concurso ""comentando a Matta"" y gana libros de Arte exclusivos de Fundación Itaú.",0,Fundación Itaú Chile,Nacional,,,
"No olvide visitar la exposición ""Rembrandt: Impresiones de un genio"" en Espacio ArteAbierto de Fundación Itaú (Apoquindo 3457) y en la Corp. Cultural de Las Condes (Apoquindo 6570).",0,Fundación Itaú Chile,Nacional,,,
Efectivamente el Hogar de Cristo está llamando a sus SOCIOS para solicitarles aportes adicionales para ayudar a todos los damnificados. Si se tienen dudas del origen del llamado por favor cortar y llamar al 6005708000. Gracias!,0,Hogar de Cristo,Nacional,,,
"Hoy en el Mes de la Solidaridad: Feria: Mujer y Solidaridad ""Tu vida s vale"". 15 - 18 hrs. Casa acogida Sta. Ana.Organiza Vicaría de la Pastoral Social.Más Información: www.mesdelasolidaridad.cl",0,Hogar de Cristo,Nacional,,,
"Felipe Leyton de SENDA entregando las cifras del Indice de Calidad de Vida Laboral.""Los trabajadores de jornada completa tienen la prevalencia del consumo de alcohol y drogas""",0,Fundación Paréntesis,Nacional,,,
En Chile el consumo de drogas tiene un costo de + de US$500 millones anuales de los cuales el 45% se refiere a pérdida de productividad,0,Fundación Paréntesis,Nacional,,,
Quimioterapia:Se utiliza como herramienta para eliminar las células cancerosas del cuerpo. A los niños con cáncer se les puede administrar la quimioterapia por va intravenosa (a través de una vena) u oral (por boca). Algunas formas de quimioterapia se pueden administrar por va intratecal a través del líquido cefalorraquídeo. Los medicamentos entran en el torrente sanguíneo y matan a las células cancerosas en todas las partes del cuerpo.La duración de la quimioterapia y el tipo y cantidad de fármacos utilizados dependen del tipo de cáncer que padezca el niño y de su respuesta a la medicación. El tratamiento es diferente para cada paciente de modo que un niño puede someterse a quimioterapia diaria semanal o mensualmente. También es posible que el pediatra recomiende hacer varios ciclos de tratamiento para que el cuerpo del niño pueda descansar y recuperarse entre ciclos consecutivos.Todos los medicamentos que se utilizan en quimioterapia conllevan el riesgo de padecer problemas a corto y largo plazo. Los efectos a corto plazo incluyen náuseas vómitos cada del cabello fatiga anemia sangrado anormal y mayor riesgo de infección debido a la destrucción de la médula sea as como lesiones renales e irregularidades menstruales. Algunos de los medicamentos que se utilizan en quimioterapia también se asocian a riesgo de inflamación de la vejiga hematuria (sangre en la orina) pérdidas auditivas y lesiones hepáticas. Otros pueden provocar problemas cardíacos y cutáneos. Los efectos colaterales a largo plazo incluyen infertilidad problemas de crecimiento lesiones en órganos e incremento del riesgo de padecer otros cánceres.,46,Fundacion Nuestros Hijos,Nacional,,,
Estamos muy bajos en donaciones de tiles de aseo como pasta de dientes desodorantes pañales y ropa interior nueva. Atina! #ChileAyudalPuerto Trae tus donaciones hasta nuestros puntos de acopio.,47,Hogar de Cristo,Nacional,,,
Hoy 1 de Marzo estamos celebrando un 3er Aniversario de Psicólogos Voluntarios de Chile. Queremos agradecer a todas las personas que han hecho posible que sigamos prestando ayuda psicológica a los que más lo necesitan.,49,Psicólogos Voluntarios de Chile,Nacional,,,
:-) Y la primera sonrisa la regalamos nosotrosporque les deseamos un buen martes cuando ya es miércoles :-)Fundación @Nuestros_Hijos,50,Fundacion Nuestros Hijos,Nacional,,,
Bienvenido octubre!!!Empezamos con todo el animo este día jueves y nuevo mes.Un gran saludo desde Fundación Nuestros_Hijos.,50,Fundacion Nuestros Hijos,Nacional,,,
Quieren ser parte de un espectáculo que ha sido visto por más de 8 millones de personas en todo el mundo?Participen por entradas exclusivas para el día 18 de noviembre a las 20:00 hrs. para Varekai lo nuevo de Cirque Du Soleil.Y recuerden que sortearemos entradas entre nuestros fans!!!,52,Fundación Itaú Chile,Nacional,,,
La emergencia sigue y más #voluntarios parten al norte mañana. Gracias Banco Santander Chile por los recursos entregados para las construcciones!,55,Techo - Chile,Nacional,,,
"Hace 67 años el Padre Hurtado un 19 de octubre fundó el Hogar de Cristo. Hoy atendemos a más de 70 mil personas en situación de pobreza en 125 comunas del país: niños adultos mayores personas en situación de calle mujeres víctimas de violencia jóvenes expulsados del sistemas escolar personas con discapacidad física y mental personas con consumo problemático de alcohol y drogas. Somos más de 4 mil trabajadores 8 mil voluntarios 500 mil socios que seguimos luchando por construir un país más justo y solidario.  El Padre Hurtado nos dijo: ""Este es mi último anhelo: que se haga una cruzada de amor y respeto al pobre porque el pobre es Cristo Cristo desnudo Cristo con hambre Cristo sucio Cristo enfermo Cristo abandonado. Podemos quedarnos indiferentes? Podemos quedarnos tranquilos?...""",55,Hogar de Cristo,Nacional,,,
Trasplante de médula sea:La médula sea es un tejido esponjoso que hay en el interior de ciertos huesos del cuerpo y que desempeña la función de producir glóbulos sanguíneos. Si un niño padece un tipo de cáncer que influye sobre la función de los glóbulos sanguíneos un trasplante de médula sea (junto con la quimioterapia para matar a las células cancerosas) puede favorecer el crecimiento de nuevas células sanas. El trasplante de médula sea a veces también se utiliza para tratar cánceres que no afectan a los glóbulos sanguíneos ya que permite que los médicos utilicen dosis de quimioterapia más elevadas que las que habrá tolerado el paciente si no hubiera recibido el trasplante.,55,Fundacion Nuestros Hijos,Nacional,,,
Radioterapia:En la radioterapia se emiten rayos X de alta intensidad hacia el cuerpo del paciente para matar las células cancerosas y evitar su crecimiento y multiplicación descontrolada. Al igual que las radiografías tomadas por un dentista no causa dolor pero a diferencia de una radiografía común la radioterapia emite rayos X de alta intensidad para que la radiación pueda matar las células cancerosas y reducir el tamaño de los tumores.Si bien el objetivo es atacar el cáncer es posible que la radiación también dañe las células sanas. La buena noticia es que las células sanas pueden recuperarse de los efectos de la radiación. Este tipo de tratamiento no está ajeno a los efectos secundarios que dependen de la edad del paciente el tipo de tratamiento y el lugar donde se encuentra el cáncer pero lo positivo es que la radioterapia suele ser una herramienta efectiva para combatir el cáncer y le permite a mucha gente llevar vidas normales y sanas.,55,Fundacion Nuestros Hijos,Nacional,,,
Iniciamos un nuevo año!  y seguiremos trabajando por un país sin pobreza!,55,Fundación Superación Pobreza,Nacional,Nacional,,
Un Techo para Chile apoya y comparte las razones más profundas que han motivado las actuales movilizaciones estudiantiles, en tanto nos encontramos frente a un sistema educativo que genera segregación social en un país profundamente desigual sin permitir que los más pobres y excluidos de Chile tengan acceso real a las oportunidades que constantemente se les promete.,55,Techo - Chile,,,
"Es incorrecto hablar de ""Personas Pobres"" puesto que la pobreza no es una condición intrínseca del ser.",94,Fundación Superación Pobreza,Nacional,,,
Agradecemos a Sodimac Homecenter por el apoyo en donación de materiales a #campamentos que fueron afectados por la #lluvia en el #norte de nuestro país y en la #RegiónMetropolitana.,95,Techo - Chile,Nacional,,,
Esta es la oportunidad para que nuestro corazón se vuelva a conectar y sentirnos comunidad sentirnos como un mismo país Capellán Pablo Walker sj#NuestroNorteNuestraAyuda,95,Hogar de Cristo,Nacional,,,
Ahora s!!!Feliz Año Nuevo les desean los niños niñas y colaboradores de Fundación @Nuestros_Hijos :-) <3,98,Fundacion Nuestros Hijos,Nacional,,,
YA ESTAMOS EN COLECTA NACIONAL TECHO A MIL!!! CON MÁS CONVICCIÓN Y FUERZA QUE NUNCA POR UN CHILE MÁS JUSTO SIN CAMPAMENTOS. VAMOS VOLUNTARIOS!,99,Techo - Chile,Nacional,,,
A un año del fallecimiento de 6 integrantes de nuestra familia de voluntarios en la Región de Bio-Bio dirigentes pobladores voluntarios y profesionales de la fundación queremos recordarlos con mucho cariño y agradecer siempre la profunda labor que asumieron al entregarse por entero a los más excluidos del país.,384,Techo - Chile,Nacional,,,
Nos informan que en la zona costera de Antofagasta Iquique y Arica las caletas y campamentos están siendo evacuadas en orden. La mayoría de los campamentos se encuentran en zonas altas por lo que no han tenido complicaciones y están en zona segura.,395,Techo - Chile,Nacional,,,
Hace 4 años Chile se remeció para nunca olvidar. #4aos27FAgradecemos a los miles de voluntarios que dejaron todo para levantar a nuestro país. Estamos orgullosos y agradecidos de haber estado al servicio de lo que necesitaba el país después del terremoto.Gracias voluntarios!! #27F,409,Techo - Chile,Nacional,,,
A partir de lo ocurrido en el norte TECHO-Chile se pone a disposición. Ya nos coordinamos con autoridades y nos empezamos a preparar para construir. Más adelante comunicaremos más información.,419,Techo - Chile,Nacional,,,
"En minutos empieza la COMIDA TECHO 2012! Apoya a familias y voluntarios con tu ""me gusta""!",422,Techo - Chile,Nacional,,,
"Que ponga ""Me gusta"" el que quiere un Chile más justo sin campamentos!",426,Techo - Chile,Nacional,,,
Los #voluntarios del #norte están listos en caso de que sean necesarios. Aún a la espera de más info y a disposición de autoridades. Seguiremos informando.Nuevamente gracias a todos los que se contactaron poniéndose al servicio!,434,Techo - Chile,Nacional,,,
Amigos queremos informarles que afortunadamente no lamentamos heridos ni pérdidas en los diversos programas sociales que mantenemos en los territorios afectados as como tampoco se presentaron daos en nuestra infraestructura.,437,Hogar de Cristo,Nacional,,,
Gracias a todos por la preocupación. Estaremos avisando cualquier novedad sobre las comunidades con las que trabajamos y la ayuda necesaria.,525,Techo - Chile,Nacional,,,
Estamos LEJOS. Nos faltan más de 600 viviendas básicas para que miles de porteos puedan volver a comenzar. #1000TECHOS para Valpo.,558,Techo - Chile,Nacional,,,
Nuestros equipos de profesionales y voluntarios del norte estén bien. Estamos a disposición de las autoridades a la espera de más info.,575,Techo - Chile,Nacional,,,
Estamos ahora en reunión con Onemi. Si hay que construir ah estaremos. Ya entregaremos más información.,625,Techo - Chile,Nacional,,,
Que ponga me gusta los que quieran un Chile sin campamentos!,989,Techo - Chile,Nacional,,,
Voluntarios y equipos preparados para lo que se necesite. Cualquier cosa avisaremos. A primera hora de mañana habrá más información.Estamos a disposición de autoridades y lo que se necesite.Saludos!,1126,Techo - Chile,Nacional,,,
