,A,date,C,D,content,,
12,"6,92729053967688E+017",2016-01-28 15:20:51,0,0,My best RTs this week came from: @ginniasa @karenb0t @jcbchile #thankSAll Who were yours? https://t.co/1KXstNsKpe,,
13,"6,92059530977493E+017",2016-01-26 19:00:24,0,2,¿Que pasa cuando se le pregunta a un grupo de niños que significa para ellos la pobreza? https://t.co/0TMbStHGKa,,
14,"6,92022048441418E+017",2016-01-26 16:31:28,0,1,RT @empleahc: #FelizMartes Conoce a Rodolfo participante de Emplea en el siguiente link https://t.co/I3s0CbSVNL https://t.co/J3NphTWda5,,
15,"6,91282880874553E+017",2016-01-24 15:34:16,2,3,"Hay alguien que necesita tu apoyo, envía una significativa tarjeta entrando aquí: https://t.co/eHy7e9MFIC https://t.co/FqfVNiKjb9",,
16,"6,90931401697432E+017",2016-01-23 16:17:37,2,2,"Un nuevo año es un buen motivo para proponerse metas, objetivos, cosas que te harán crecer como persona... https://t.co/KH0FDrCHLv",,
17,"6,90640301875159E+017",2016-01-22 21:00:54,6,4,En 1901 nació el Padre Hurtado ¡orgullosos y felices continuamos con su trabajo junto a los + pobres d nuestro país! https://t.co/3tNY7deGId,,
18,"6,90614331160011E+017",2016-01-22 19:17:42,0,3,Superar la Pobreza de nuestro país es responsabilidad de todos ¡Inscríbete aquí! https://t.co/eWE8DrxVnQ https://t.co/sT0GHQeEuj,,
19,"6,90610064017789E+017",2016-01-22 19:00:44,0,3,"La guía que acerca a los varones a la crianza y al jardín infantil https://t.co/2U0n1iXPJC ""Guía de paternidad activa para padres""",,
20,"6,90594934055932E+017",2016-01-22 18:00:37,11,15,"A 115 años de su natalicio, celebramos el legado del Padre Hurtado un visionario luchador por la justicia social. https://t.co/wmFz1DYC2B",,
21,"6,90584387340091E+017",2016-01-22 17:18:43,0,1,"RT @jeka79: En Operativo dental #ProgramaCalleCoyhaique en colaboración con Clínica Dental Condell, gracias por el  Compromiso https://t.co…",,
22,"6,9058089005815E+017",2016-01-22 17:04:49,0,1,RT @Agenda_Rural: ¿Cómo era el contexto en el que se creó el Hogar de Cristo? Acá te lo explicamos. ,) https://t.co/HG4X1Ag5jw,
23,"6,90545887488168E+017",2016-01-22 14:45:43,0,0,"My week on Twitter: 24 New Followers, 8 Mentions, 12.8K Mention Reach. How's your audience growing? via https://t.co/4kEUPOunY8",,
24,"6,90232960533074E+017",2016-01-21 18:02:16,1,3,Premio Pobre el que no Cambia de Mirada de la alianza @ComyPobreza reconoce a siete trabajos periodísticos https://t.co/WE33gQUmFu,,
25,"6,9019233639195E+017",2016-01-21 15:20:50,2,0,My best RTs this week came from: @Educacion2020 @robertojimenezm #thankSAll Who were yours? https://t.co/1KXstNsKpe,,
26,"6,90157339232571E+017",2016-01-21 13:01:46,3,1,"OPINIÓN: ""El emprendimiento como desarrollo social"" https://t.co/YOhq0siCcY por Mario Pavón de @FondoEsperanza",,
27,"6,8992721537144E+017",2016-01-20 21:47:21,1,2,"Hoy realizamos el lanzamiento del Libro ""Pasión de leer"" homenaje a los 70 años del Premio Nobel de Gabriela Mistral https://t.co/AyMs58YeMG",,
28,"6,89915354924093E+017",2016-01-20 21:00:13,0,2,"RT @luiscuevassoto: @Hdecristo @gariquelme 13 niñ@s egresan del Jardin y Sala Cuna Rucahue, mucho éxito en el futuro, Dios los acompañe. ht…",,
29,"6,89895670111666E+017",2016-01-20 19:42:00,0,4,RT @reduca_al: [DOC] La guía que acerca a los varones a la crianza y al jardín infantil https://t.co/EcRRhhJVpv vía @UNICEF y @HdeCristo,,
30,"6,89794982685835E+017",2016-01-20 13:01:54,0,1,Las dificultades a las que se ven expuestos los cuidadores de Adultos Mayores ¿y a ellos quién los cuida? https://t.co/M9jrPOXGIr,,
31,"6,89553218779636E+017",2016-01-19 21:01:13,3,1,"Columna de María Isabel Robles, Directora ejecutiva de @rostrosnuevos https://t.co/BZwZytdALz sobre inclusión laboral de pers c/discapacidad",,
32,"6,89538034275095E+017",2016-01-19 20:00:53,1,2,"""Pasión de leer"" libro recopilatorio de trabajos de Gabriela Mistral/Descarga un extracto: https://t.co/eE74OUvXKF https://t.co/eouYtqOv3k",,
33,"6,89526140617245E+017",2016-01-19 19:13:37,0,6,RT @dsocial_VIII: Seremi encabeza entrega de Estudio de Personas en Situación de Calle con Problemas de Salud Mental en el Biobío https://t…,,
34,"6,89526007842378E+017",2016-01-19 19:13:05,0,7,"RT @dsocial_VIII: Estudio fue realizado entre @dsocial_VIII, la Universidad de Concepción y Fundación Rostros Nuevos, en el Biobío https://…",,
35,"6,89522890845332E+017",2016-01-19 19:00:42,1,4,En Chile casi el 30% de la población vive bajo las diversas formas de la pobreza. Revisa esta info: https://t.co/2BRPva4UjK,,
36,"6,89507767367897E+017",2016-01-19 18:00:36,0,0,"Siete fueron los ganadores de la versión 2015 del premio Pobre el que no Cambia de Mirada, conócelos aquí: https://t.co/rTQLxd9MVg",,
37,"6,89439969320907E+017",2016-01-19 13:31:12,0,0,"""Personas con discapacidad: desigualdad en el empleo y nueva Ley de Cuotas"" https://t.co/gdH00hpb5X vía @el_dinamo",,
38,"6,89205813798433E+017",2016-01-18 22:00:45,1,0,"Gran participación tuvo el taller para cuidadores de adultos mayores, dirigido a voluntarios y beneficiados de PADAM https://t.co/dvMMIRZNGg",,
39,"6,89190620489978E+017",2016-01-18 21:00:23,8,16,Nuestros amigos @Educacion2020 hicieron esta nota d la Guía de Paternidad Activa para padres https://t.co/qhsXvUHREr https://t.co/lGgRFK71Co,,
40,"6,89160444964131E+017",2016-01-18 19:00:28,1,0,Hogar de Cristo y Senama realizan actividad para cuidadores/as de adultos/as mayores :) https://t.co/xwrt6hNpTi,,
41,"6,87982859458638E+017",2016-01-15 13:01:10,2,2,"""Un fuego que enciende fuegos"" María Isabel Peña Concha cuenta su experiencia como voluntaria https://t.co/D3O6Kzespa",,
42,"6,87427661694677E+017",2016-01-14 00:15:00,4,3,Agradecemos también los reportajes de @T13 @biobio @Emol @Revista_Sabado por su participación en esta 10ª versión del premio @ComyPobreza,,
43,"6,87427499022791E+017",2016-01-14 00:14:22,3,3,Felicitamos a todos quienes estuvieron nominados en el premio #PobreElQueNoCambiaDeMirada @latercera @chilevision @24HorasTVN @thecliniccl,,
44,"6,87425582662087E+017",2016-01-14 00:06:45,0,7,"RT @ComyPobreza: Felicitaciones! ""Buenaventura no es ciudad para débiles"" de Gazi Jalil @Revista_Sabado #PobreElQueNoCambiaDeMirada https:/…",,
45,"6,87425471101952E+017",2016-01-14 00:06:18,2,1,"""La cuidad más amigable que sueñan en Chañaral"" ganador de crónica presa escrita  publicado en @latercera https://t.co/Avi6sHtT2E",,
46,"6,87423690766709E+017",2016-01-13 23:59:14,3,3,"""Las mamás que llevaron las letras a su campamento"" ganador en la categoría aporte regional @austral_osorno https://t.co/dRKEBuBYbV",,
47,"6,87421730806198E+017",2016-01-13 23:51:26,3,2,La ganadora de la categoría Aporte Editorial del premio #PobreElQueNoCambiaDeMirada @XimenaPlanella https://t.co/prqGivPYS0,,
48,"6,87420562273104E+017",2016-01-13 23:46:48,3,2,"Felicitamos a @ConnectasOrg @mercurioafta ""El nuevo éxodo latino de Colombia a Chile"" ganador dl premio @ComyPobreza https://t.co/VWGVa2uoax",,
49,"6,87418874237727E+017",2016-01-13 23:40:05,9,6,"Felicitamos a @enlamira_chv por ""Agua, lujo y desgracia"" reportaje ganador del premio #PobreElQueNoCambiaDeMirada https://t.co/NI0a2fIIBL",,
50,"6,8741788276294E+017",2016-01-13 23:36:09,9,9,"Felicitamos a @ahoranoticiasAN por ""El consultorio de Babel"" ganador del premio #PobreElQueNoCambiaDeMirada https://t.co/JBSxLEsGST",,
51,"6,87415583298687E+017",2016-01-13 23:27:01,0,4,"RT @ComyPobreza: ""Estos equipos finalistas son un aporte para Chile"" Verónica Monroy de @Hdecristo #PobreElQueNoCambiaDeMirada https://t.co…",,
52,"6,87415469716947E+017",2016-01-13 23:26:34,1,6,El Ministro del @dsocial_gob también nos acompaña en esta 10ª versión del premio #PobreElQueNoCambiaDeMirada https://t.co/oDscWhMmCl,,
53,"6,87412349641343E+017",2016-01-13 23:14:10,1,1,Nuestra Directora Social Nacional dando las palabras de bienvenida del premio #ProbreElQueNoCambiaDeMirada https://t.co/4sfaLmnApT,,
54,"6,87410932885119E+017",2016-01-13 23:08:32,1,3,Con la conducción de @IvanValenzuelaU damos inicio al premio #PobreElQueNoCambiaDeMirada https://t.co/mdkUioe5qH,,
55,"6,87405127972602E+017",2016-01-13 22:45:28,3,4,Todos los finalistas del Premio #PobreElQueNoCambiaDeMirada @americasolidari @superarpobreza @PeriodismoUDP https://t.co/N7HcOVfL4O,,
56,"6,87403246789509E+017",2016-01-13 22:38:00,3,6,Ya estamos prontos a comenzar una nueva versión del Premio #PobreElQueNoCambiaDeMirada en @mavichile https://t.co/5QpELyHfXW,,
57,"6,87389949847581E+017",2016-01-13 21:45:09,1,5,Estos son los finalistas a la categoría: CRÓNICA PRENSA ESCRITA Premio #PobreElQueNoCambiaDeMirada de @ComyPobreza https://t.co/G9e3bnbgaW,,
58,"6,87386191931511E+017",2016-01-13 21:30:13,2,2,Hoy en el MAVI Premio #PobreElQueNoCambiaDeMirada ¡Te esperamos a las 19:30 hrs! https://t.co/J5eg89jFkV,,
59,"6,8709964583159E+017",2016-01-13 02:31:35,0,10,RT @ComyPobreza: Nos vemos mañana en #PobreElQueNoCambiaDeMirada ✌ @americasolidari @Hdecristo @PeriodismoUDP @SuperarPobreza https://t.co/…,,
60,"6,8697900357247E+017",2016-01-12 18:32:12,0,2,RT @F_integra: Qué excelente iniciativa de @Hdecristo y @UnicefChile para promover la paternidad activa y la equidad de género https://t.co…,,
61,"6,85581918658785E+017",2016-01-08 22:00:41,2,1,"Conoce los 5 proyectos digitales finalistas al Premio ""Pobre el que no Cambia de Mirada 2015"" de @ComyPobreza  https://t.co/26xq7vve8e",,
62,"6,85536575309136E+017",2016-01-08 19:00:30,0,1,Firmamos un importante acuerdo que nos permite ser la primera ONG en unirse al Consejo para la Transparencia :) https://t.co/NrG31rm2ne,,
63,"6,85530668177166E+017",2016-01-08 18:37:02,0,0,"@arcezuniga hola, revisa nuestra tienda virtual en este link https://t.co/uKWuQ6nd5r :)",,
64,"6,85530350710338E+017",2016-01-08 18:35:46,0,0,@CoteFuen te seguimos!,,
65,"6,85117202559795E+017",2016-01-07 15:14:04,0,3,RT @Sumate_Fund: Una excelente mirada para entender la educación de hoy https://t.co/9cEjdLUhvq,,
66,"6,84839256133628E+017",2016-01-06 20:49:37,0,0,"@renecampusano hola, envíanos un DM para ayudarte :)",,
67,"6,84799134763758E+017",2016-01-06 18:10:11,2,3,"Conoce el testimonio de Rodolfo Moller, acogido de @empleahc y poeta,tras su paso por el taller literario HC https://t.co/Qmt9ubWND4",,
68,"6,84792169236922E+017",2016-01-06 17:42:30,0,1,RT @ComyPobreza: Este consultorio multicultural te sacará una 😄 #PobreElQueNoCambiaDeMirada @ahoranoticiasAN https://t.co/rVUqRRyIoN https:…,,
69,"6,84737054450823E+017",2016-01-06 14:03:30,0,0,"@DMoN_ch Hola, favor envíanos un DM para poder ayudarte :)",,
70,"6,84736471828398E+017",2016-01-06 14:01:11,0,3,RT @empleahc: #FelizMiercoles  Aquí te dejamos unos excelentes Tips para cuando asistas a una entrevista de trabajo... https://t.co/bVGmKA3…,,
71,"6,84494694257136E+017",2016-01-05 22:00:27,1,2,¡Mira lo que juntos logramos el 2015! https://t.co/s4wiKhgcRK :),,
72,"6,84481743857029E+017",2016-01-05 21:08:59,2,2,"Lee y descarga el libro ""Pasión de leer"" una recopilación de poesía y prosa de Gabriela Mistral https://t.co/RgABLIiL5Z",,
73,"6,82672066114503E+017",2015-12-31 21:17:58,0,13,"RT @Karol_LuceroV: Los invito a leer Mi Columna de los Viernes en el Diario @hoyxhoycl y #LaEstrella en regiones, aqui: https://t.co/HszaXC…",,
74,"6,8258219508985E+017",2015-12-31 15:20:51,1,0,My best RTs this week came from: @jesuitaschile @FranPisca #thankSAll Who were yours? https://t.co/1KXstNsKpe,,
75,"6,82320337674068E+017",2015-12-30 22:00:20,1,0,Mira Conciencia Inclusiva: Discapacidad mental adulta https://t.co/23YenHrr5i donde @rostrosnuevos explica su trabajo vía @CNNChile,,
76,"6,8221589994487E+017",2015-12-30 15:05:20,1,2,Conoce el trabajo del #TeatrodelaVida d fundación @rostrosnuevos ¡apoya su causa de convertirse en 1 Cía profesional https://t.co/eNlDmSP3Sp,,
77,"6,81957955097465E+017",2015-12-29 22:00:21,2,0,Junto a Fantasilandia celebramos alegre fiesta de Navidad https://t.co/BJsen6HEHJ,,
78,"6,81927846315557E+017",2015-12-29 20:00:42,2,1,"""La orientación vocacional no se ve visibilizada en la discusión educativa"" Liliana Cortés @Sumate_Fund https://t.co/Z3NgFXBQnX",,
79,"6,81897655602168E+017",2015-12-29 18:00:44,1,1,Celebramos Navidad con emotiva misa en calle en la Plaza Yungay https://t.co/AUR36WyRNd,,
80,"6,81859909537907E+017",2015-12-29 15:30:45,0,8,RT @cseebach: @pwalkersj y la Navidad y por qué Cristo nació en pobreza para inspirarnos en terminar con la exclusión e inequidad. https://…,,
81,"6,81563243786158E+017",2015-12-28 19:51:54,0,0,"@misscachete Hola, si eres de Santiago puedes llevarlos a la siguiente dirección: https://t.co/yqXM67HGlV :)",,
82,"6,80825891862254E+017",2015-12-26 19:01:56,1,3,El teatro levanta mensajes d una población invisible para muchos. Ahora ellos quieren ser los protagonistas/Apóyalos https://t.co/d71GP5k46E,,
83,"6,80765366130328E+017",2015-12-26 15:01:25,1,0,"Teatro de la vida ¡Ellos tienen lista la escena, ahora te toca actuar a ti! https://t.co/sOQiVjaMiD",,
84,"6,8049222924127E+017",2015-12-25 20:56:05,4,2,"A todos nuestros acogidos, trabajadores, socios, voluntarios y amigos les deseamos ¡Feliz Navidad! https://t.co/duL1T7fE1A",,
85,"6,80403301725291E+017",2015-12-25 15:02:43,2,2,Profesionalizar la Compañía de Teatro significa dar una vía de inclusión a personas con discapacidad mental/Apóyalos https://t.co/d71GP5k46E,,
86,"6,80402972921082E+017",2015-12-25 15:01:24,2,0,Navidad: Tiempo para ver a Jesús en el más excluido https://t.co/asQwRVRokG,,
87,"6,80399026089538E+017",2015-12-25 14:45:43,0,0,"My week on Twitter: 11 New Followers, 39 Mentions, 234K Mention Reach. How's your audience growing? via https://t.co/4kEUPOunY8",,
88,"6,80206700390003E+017",2015-12-25 02:01:29,3,0,"Teatro de la Vida es + que una Compañía d teatro, es un mensaje de inclusión social/Colabora https://t.co/d71GP5k46E https://t.co/1QY2xqHE3X",,
89,"6,80064086420419E+017",2015-12-24 16:34:47,0,2,"RT @DesdeZero977: “En Chile hay una inequidad espantosa en la distribución de las oportunidades”, @pwalkersj del @hdecristo #DesdeZero http…",,
90,"6,80047843038654E+017",2015-12-24 15:30:15,0,3,"RT @radiozero977: ""Transformaciones estructurales van a tener el boicot que sea sin transformación de las conciencias"", @pwalkersj, capellá…",,
91,"6,80043196047594E+017",2015-12-24 15:11:47,0,5,RT @SJMChile: Gracias al @Hdecristo algun@s de nuestr@s usuari@s visitaron @Fantasilandia con sus familias https://t.co/bVBokZ21CR https://…,,
92,"6,79798714773422E+017",2015-12-23 23:00:18,1,5,Con una Misa en Calle celebramos el nacimiento del niño Jesús en Plaza Yungay https://t.co/8wQB8ixdI0,,
93,"6,79788600951747E+017",2015-12-23 22:20:06,0,1,"RT @uripubli: Proyecto CrowdFunding Entre todos para el #Teatrodelavida  https://t.co/GWYiZeCaN4 via @rostrosnuevos y @hdecristo, nos toca …",,
94,"6,79788266472763E+017",2015-12-23 22:18:47,2,2,Hogar de Cristo y gremio de panaderos @INDUPAN_AG ofrecen desayuno navideño a acogidos https://t.co/olyUHC0OHb,,
95,"6,79678591462978E+017",2015-12-23 15:02:58,2,2,Ellos quieren salir al mundo como 1 Compañía de teatro profesional https://t.co/29Oy7IvbAS #EntreTodos Colabora aquí https://t.co/d71GP5k46E,,
96,"6,79667540516323E+017",2015-12-23 14:19:03,0,2,RT @Fantasilandia: Pablo Walker capellan del @Hdecristo bendice nuestro nuevo juego TREN MINERO #LaNavidadConSentido https://t.co/rVh7g3vhCc,,
97,"6,79662213007819E+017",2015-12-23 13:57:53,0,4,RT @CooperativaTV: [Video] .@Hdecristo celebró una misa en la Plaza Yungay https://t.co/tKJhpA2K3i https://t.co/IWXEXu5QNe,,
98,"6,79433112510681E+017",2015-12-22 22:47:31,9,7,"Padre Pablo Walker sj en misa de la calle, compartiendo el mensaje del niño Jesús https://t.co/ozIGnyAdjz",,
99,"6,79424238630142E+017",2015-12-22 22:12:16,3,1,Estamos en la Plaza Yungay celebrando la tradicional misa en calle con vecinos y acogidos #RegalodeCorazón https://t.co/P8DqXn8rlf,,
100,"6,79409445701571E+017",2015-12-22 21:13:29,2,4,Esta Navidad Haz un #RegalodeCorazón ¡Regala un abrazo bien apretao! https://t.co/9wTMIt4Jd0 https://t.co/F9IhYmZ0A6,,
101,"6,79351656044225E+017",2015-12-22 17:23:51,0,1,RT @INDUPAN_AG: Un gran desayuno navideño junto al @Hdecristo una experiencia que nace junto al sueño de Navidad y que se realizará todos l…,,
102,"6,79306068112077E+017",2015-12-22 14:22:42,1,2,Federación de Panaderos realizó un desayuno para 150 personas del Hogar de Cristo https://t.co/fx93icw2CM vía @CNNChile,,
103,"6,79305204085473E+017",2015-12-22 14:19:16,0,2,RT @empleahc: Ten en cuenta estos #consejos al momento de ir a una #entrevista de #trabajo ! https://t.co/Oa07ifAGPJ,,
104,"6,79285777751278E+017",2015-12-22 13:02:04,1,1,El teatro es una vía de inclusión para personas con discapacidad mental #EntreTodos apoyemos la causa. Colabora aquí https://t.co/d71GP5k46E,,
105,"6,79028921552212E+017",2015-12-21 20:01:25,5,4,¡Recobremos el espíritu original de la Navidad! https://t.co/ImtL2Eeojq Catálogo d buenas acciones para esta Navidad https://t.co/riTPj1DFPT,,
106,"6,79006178509238E+017",2015-12-21 18:31:02,1,0,"¡Ellos tienen lista la escena, ahora te toca actuar a ti! Apoya esta causa colaborando aquí: https://t.co/d71GP5k46E https://t.co/jZHb7sJ7le",,
107,"6,78993380391678E+017",2015-12-21 17:40:11,0,13,RT @dsocial_XI: Acompañando al @IntendenteAysen en almuerzo navideño en hospedería @Hdecristo https://t.co/WwK2JSnS1q,,
108,"6,78991025520706E+017",2015-12-21 17:30:50,0,0,¡Observa lo que pasó en las calles cuando repartimos unas particulares Gift Cards! https://t.co/iXG5WAiup0 #RegaloDeCorazón,,
109,"6,78975879050043E+017",2015-12-21 16:30:38,1,3,"""Las barreras son más grandes que los esfuerzos por salir de la pobreza"" escucha entrevista a nuestro Dir Ejecutivo https://t.co/mhtAJgY37U",,
110,"6,78953230345335E+017",2015-12-21 15:00:39,0,2,¿sabes qué tan extendida está la filantropía en Chile? Revisa esta nota de emol: https://t.co/cNjdQw3nXR https://t.co/cImjZqrzOh,,
111,"6,78950869585363E+017",2015-12-21 14:51:16,0,42,RT @tv_monica: Aquí la cuenta y la explicación de caso en lo médico En lo humano: un niño de 4 años nos necesita #UnCorazonParaLeon https:/…,,
112,"6,78945577418248E+017",2015-12-21 14:30:14,0,1,Una Navidad más compartida es la que te invitamos a vivir https://t.co/qej4Brv5UP  Comparte ntro catálogo navideño https://t.co/Wxq46PW2xi,,
113,"6,78924684432421E+017",2015-12-21 13:07:13,1,0,Esta Navidad haz un #RegalodeCorazón ¡comparte una cena con alguien que no se lo espera! https://t.co/ZLbn2hMjPx https://t.co/GGv2OIqFUi,,
114,"6,77811306955678E+017",2015-12-18 11:23:03,0,2,"RT @alejandroagomez: Sólido @Hdecristo en todo, todo su planteamiento @sonarfm @rafa_cavada",,
115,"6,77535201376002E+017",2015-12-17 17:05:54,2,1,"Esta navidad, sólo necesitarás hacer un par de clicks para regalarle una 😀 a quien + quieres https://t.co/3gVNPxJ3EM https://t.co/M5ZqeETwkw",,
116,"6,77508761813189E+017",2015-12-17 15:20:50,1,0,My best RTs this week came from: @sadockh @jesuitaschile #thankSAll Who were yours? https://t.co/1KXstNsKpe,,
117,"6,77489503666336E+017",2015-12-17 14:04:19,0,8,"RT @Tele13_Radio: Pablo Walker @Hdecristo: ""En vez de regalar objetos tecnológicos, regalemos encuentros transformadores"" https://t.co/oIj8…",,
118,"6,77255108040766E+017",2015-12-16 22:32:55,0,10,"RT @RadioDuna: Capellán del @Hdecristo: ""Tenemos que regalar tiempo porque como país estamos fragmentados"" https://t.co/4mILRNFojX https://…",,
119,"6,77246983996908E+017",2015-12-16 22:00:38,4,4,Esta navidad comparte la cena navideña con alguien que no lo espera. Haz un #RegaloDeCorazón https://t.co/QXvqoqmplG https://t.co/OyK0KEeWKB,,
120,"6,7723702650948E+017",2015-12-16 21:21:04,0,1,RT @pattysilva8: AL AIRE con: Pablo Walker @pwalkersj capellán @Hdecristo por “Celebremos el nacimiento del niño Jesús compartiendo lo mejo…,,
121,"6,77208540507935E+017",2015-12-16 19:27:52,0,1,Comprando una tarjeta estarás regalando una cena navideña para uno de nuestros acogidos https://t.co/tFz0vyzz6v RT! https://t.co/MKXFjJ6gcF,,
122,"6,7720747433687E+017",2015-12-16 19:23:38,0,0,@sadockh gracias por preguntar :),,
123,"6,77207029224759E+017",2015-12-16 19:21:52,1,1,"@sadockh en efecto, se está invitando a comprar 1 tarjeta navideña con la q estarás aportando para 1 cena navideña para nuestros acogidos",,
124,"6,77156590257119E+017",2015-12-16 16:01:26,1,0,@LulitaM gracias a ti :) ¡te esperamos!,,
125,"6,77155289901216E+017",2015-12-16 15:56:16,0,1,RT @vivamos_mejor: ¿Aún no sabes cómo puedes sumarte al @HdeCristo​? Nosotros te lo contamos #VivamosMejor  https://t.co/ksqlHsZwLr https:/…,,
126,"6,77155148041466E+017",2015-12-16 15:55:42,1,0,"@LulitaM puedes llevar tu donación a calle Jotabeche 869, Estación Central,mira el mapa: https://t.co/1FXttBAN65  de lun a vier 9 a 17 hrs",,
127,"6,77149277999735E+017",2015-12-16 15:32:23,1,0,@LulitaM ¡Hola! de donde eres?,,
128,"6,77142213906813E+017",2015-12-16 15:04:19,0,11,RT @pwalkersj: ¿Y si en vez de regalar cosas regalamos una conversa?Encuentros q transforman... (Navidad Hogar dCristo) https://t.co/vxy9t3…,,
129,"6,77134744803521E+017",2015-12-16 14:34:38,2,3,"“En vez de regalar objetos tecnológicos, regalemos encuentros transformadores” dice Pablo Walker vía @Tele13_Radio https://t.co/zfgCdquWus",,
130,"6,76834614040764E+017",2015-12-15 18:42:01,2,0,Amigos de Conce no se pierdan el Concierto de Navidad q realizaremos hoy junto a @uandresbello Mira las coordenadas https://t.co/scleILY5nW,,
131,"6,76761451743322E+017",2015-12-15 13:51:18,0,3,Apoya a @rostrosnuevos y su #TeatroDeLaVida. Colabora aquí ➡ https://t.co/d71GP5k46E / https://t.co/a1zMjkOeq6 https://t.co/3SZuDFIIbe,,
132,"6,76488362841256E+017",2015-12-14 19:46:08,4,1,¡ #EntreTodos podemos apoyar esta causa! #TeatroDeLaVida de @rostrosnuevos entra acá: https://t.co/c4o3G5g2cQ https://t.co/a1zMjkOeq6,,
133,"6,76054352767922E+017",2015-12-13 15:01:32,3,6,1=1 Comprando una tarjeta estarás regalando una cena navideña para uno de nuestros acogidos https://t.co/tFz0vyzz6v https://t.co/NAJhfEXvH0,,
134,"6,75797470920712E+017",2015-12-12 22:00:47,4,6,Una navidad con sentido es lo que te proponemos...entra acá https://t.co/4tf5gUKVRU y escoge tu #RegalodeCorazón https://t.co/vAvgUEW0HO,,
135,"6,75752127025795E+017",2015-12-12 19:00:36,5,6,Esta Navidad Reconciliarse con alguien que estés enemistado es un #RegalodeCorazón https://t.co/nezz8qfvEa https://t.co/B5uW67G7Y9,,
136,"6,75705177316422E+017",2015-12-12 15:54:02,1,2,Esta navidad hace un #RegalodeCorazón entra aquí https://t.co/nezz8qfvEa y comparte nuestro catálogo #FelizSabado https://t.co/TDwSDamZ44,,
137,"6,75442548123546E+017",2015-12-11 22:30:27,0,0,Revisa algunas fotos de lo que fue la cena Pan y Vino en Coquimbo https://t.co/uHKsbB0jMl,,
138,"6,75388768904462E+017",2015-12-11 18:56:45,0,0,@pataandrea envíanos un DM para ayudarte. Gracias!,,
139,"6,75307870976627E+017",2015-12-11 13:35:17,2,4,"Esta navidad, envía una tarjeta ¡y transformala en una cena navideña para nuestros acogidos! https://t.co/SBqRnViVAx https://t.co/3SVV8Q5coU",,
140,"6,75303720771559E+017",2015-12-11 13:18:48,0,3,"RT @rostrosnuevos: La escena está lista, te toca actuar a ti. Apoya esta causa  https://t.co/viheWwURK7 #EntreTodos #TeatroDeLaVida https:/…",,
141,"6,75125841437815E+017",2015-12-11 01:31:58,1,1,"La escena está lista, te toca actuar a ti. Apoya esta causa https://t.co/K2H0KHKPKZ #EntreTodos #TeatroDeLaVida https://t.co/Wc09w4H17m",,
142,"6,75072800860865E+017",2015-12-10 22:01:12,2,1,"“la igualdad de derecho de los hombres todos, sin distinción de razas, de talento, ni de cualidades secundarias” https://t.co/XbBWFkBZ9b",,
143,"6,75043965121483E+017",2015-12-10 20:06:37,0,1,RT @rostrosnuevos: Reflexión sobre las vulneraciones a las personas con discap. mental https://t.co/BlPbPym25F #DiadelosDerechosHumanos @Di…,,
